Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Cessna Aircraft acquired by Textron,Cessna Aircraft,Textron,"Mar 2, 1992",—,Acquisition,—,"The Cessna Aircraft Company is an American general aviation aircraft manufacturing corporation headquartered in Wichita, Kansas.",—,Transportation,"Wichita, Kansas, United States",—,—,M&A,—,"Textron Inc. is a multi-industry company that leverages its global network of aircraft, defense, industrial and finance businesses to","Aerospace, Finance, Industrial","Providence, Rhode Island, United States",—,—,IPO,—
Techcorp Ltd. acquired by Take-Two Interactive,Techcorp Ltd.,Take-Two Interactive,"Jul 18, 2001",—,Acquisition,—,"Techcorp Ltd. is a design and engineering company, specializing in computer and video game accessories.",—,"Computer, Video Games","Hong Kong, Hong Kong Island, Hong Kong",—,—,M&A,—,"Take-Two Interactive Software is an American publisher, developer, and distributor of video games.","Online Games, PC Games, Publishing, Software, Sports, Video, Video Games","New York, New York, United States",—,—,IPO,—
National Print Group acquired by WestRock,National Print Group,WestRock,"Jan 6, 2014","$59,600,000",Acquisition,Cash,National Print Group is a specialty display company.,—,Printing,"Chattanooga, Tennessee, United States",—,—,M&A,—,WestRock is a corrugated packaging company.,Packaging Services,"Norcross, Georgia, United States",—,—,IPO,—
H.O. Systems acquired by VeriSign,H.O. Systems,VeriSign,"Jan 7, 2002","$340,000,000",Acquisition,Cash & Stock,H.O. Systems is a provider of billing and customer care solutions to wireless carriers.,—,Software,"Savannah, Georgia, United States",—,—,M&A,—,"Verisign operates the infrastructure for the .com, .net, .tv, .cc, .name, .jobs, .edu and .gov top-level domains.","Cyber Security, Information Technology, Infrastructure, Internet, Security, Web Hosting","Bluemont, Virginia, United States",—,"$39,311,110",IPO,3
WaterWare Internet Services acquired by Xerox,WaterWare Internet Services,Xerox,"Feb 1, 2011",—,Acquisition,—,WaterWare Internet Services is an Internet systems engineering company.,—,"Software, Software Engineering","San Jose, California, United States",—,—,M&A,—,"Xerox is a document management technology and services enterprise, producing printing and publishing systems, copiers and fax machines.","Digital Media, Hardware, Information Technology, Printing, Software","Norwalk, Connecticut, United States",—,"$27,200,000,000",M&A,4
INEL acquired by Thermo Fisher Scientific,INEL,Thermo Fisher Scientific,"Feb 12, 2016",—,Acquisition,—,INEL was incorporated in 1984 and converted into a joint venture in 1986,—,"Electronics, Manufacturing","Chennai, Tamil Nadu, India",—,—,M&A,—,Thermo Fisher Scientific is the world leader in serving science.,"Bioinformatics, Biotechnology, Life Science","Waltham, Massachusetts, United States",—,—,IPO,—
Wyeth Nutritionals acquired by Pfizer,Wyeth Nutritionals,Pfizer,"Jan 23, 2009","$68,000,000,000",Acquisition,Cash,"Wyeth a high-quality, high-growth infant nutrition business with strong brands, value-creating and accretives.",—,"Health Care, Nutrition","Madison, New Jersey, United States",—,—,M&A,—,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
Quest Diagnostics Clinical Laboratories acquired by Quest Diagnostics,Quest Diagnostics Clinical Laboratories,Quest Diagnostics,"Jan 1, 1997",—,Acquisition,—,"Quest Diagnostics Clinical Laboratories, Inc. offers diagnostic testing services for physicians, hospitals, managed-care organizations.",—,Health Care,"Collegeville, Pennsylvania, United States",—,—,M&A,—,"Quest Diagnostics is the world's leading provider of diagnostic testing, information and services that patients and doctors need to make","Health Care, Health Diagnostics, Information Services","Madison, New Jersey, United States",—,—,IPO,—
Xoom acquired by PayPal,Xoom,PayPal,"Jul 2, 2015","$890,000,000",Acquisition,Cash & Stock,Xoom is a digital money transfer company that allows users to securely transfer money online.,—,"E-Commerce, Financial Services, Payments","San Francisco, California, United States",—,"$104,349,000",M&A,7,PayPal provides online payment solutions to its users worldwide.,"E-Commerce, E-Commerce Platforms, Finance, FinTech, Mobile Payments, Payments, Transaction Processing","San Jose, California, United States",—,"$216,000,000",M&A,5
Empowered Careers acquired by Qualcomm,Empowered Careers,Qualcomm,"Jul 30, 2014",—,Acquisition,—,Empowered Careers is a mobile education technology that develops innovative mobile technology products to address academic needs.,—,"EdTech, Education, Mobile","Campbell, California, United States",—,"$19,391,496",M&A,2,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Nioxin Research Laboratories acquired by Procter & Gamble Company,Nioxin Research Laboratories,Procter & Gamble Company,"Sep 2, 2008","$300,000,000",Acquisition,—,"Nioxin Research Laboratories, Inc. develops and manufactures hair care products. Its products include thinning hair systems.",—,"Biotechnology, Consumer Goods, Health Care, Lifestyle, Manufacturing, Personal Branding, Product Design","Lithia Springs, Georgia, United States",—,—,M&A,—,Procter & Gamble Company is an American multi-national consumer goods corporation.,"Beauty, Brand Marketing, Consumer, Consumer Goods, Cosmetics, Nutrition, Pet, Pharmaceutical","Cincinnati, Ohio, United States",—,—,IPO,—
Rocker Production AB acquired by Philip Morris International,Rocker Production AB,Philip Morris International,"Oct 3, 2006",—,Acquisition,—,Rocker Production engages in the manufacture and sale of smokeless tobacco products to snuff market.,—,"Manufacturing, Tobacco","Stockholm, Stockholms Lan, Sweden",—,—,M&A,—,Philip Morris International is a tobacco company that sells and manufactures cigarettes.,"Industrial, Product Research, Tobacco","New York, New York, United States",—,—,IPO,—
Mercantile Bankshares Corporation acquired by PNC Financial Services Group,Mercantile Bankshares Corporation,PNC Financial Services Group,"Mar 2, 2007",—,Acquisition,—,Mercantile Bankshares Corporation operates a regional multibank holding company.,—,—,—,—,—,M&A,—,"PNC Financial Services Group, Inc. is one of the nation's largest diversified financial services organizations providing banking.","Banking, Finance, Financial Services","Pittsburgh, Pennsylvania, United States",—,—,IPO,—
Rinat Neuroscience acquired by Pfizer,Rinat Neuroscience,Pfizer,"Apr 7, 2006",—,Acquisition,—,"A leader in the development of therapeutic antibodies, spun out its key neuroscience assets under a broad license to Rinat.",—,"Biotechnology, Neuroscience, Therapeutics","Palo Alto, California, United States",—,"$57,500,000",M&A,2,Pfizer is a pharmaceuticals and biotechnology company.,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,—
Gibraltar BSN Life Berhad acquired by Prudential Financial,Gibraltar BSN Life Berhad,Prudential Financial,"Jan 2, 2014",—,Acquisition,—,Gibraltar BSN Life Berhad is a life insurance company.,—,Insurance,"Kuala Lumpur, Kuala Lumpur, Malaysia",—,—,M&A,—,"Leveraging its heritage of life insurance and asset management expertise, Prudential is focused on helping people. Revenue is ranging 498M.","Finance, Financial Exchanges, Financial Services, Insurance","Newark, New Jersey, United States",—,—,IPO,—
Tapioca Mobile acquired by Qualcomm,Tapioca Mobile,Qualcomm,"Jul 12, 2010",—,Acquisition,—,Tapioca Mobile helps content providers move their digital assets from servers onto mobile phones.,—,Mobile,"San Diego, California, United States",—,"$5,000,000",M&A,2,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Manufacturing, Mobile, Telecommunications, Wireless","San Diego, California, United States",—,—,IPO,—
Chittenden Corp acquired by People's United Financial,Chittenden Corp,People's United Financial,"Jun 27, 2007","$1,900,000,000",Acquisition,Cash & Stock,Chittenden Corp offers a broad range of financial products and services to customers.,—,Financial Services,"Burlington, Vermont, United States",—,—,M&A,—,People's United Financial is a diversified financial services company.,"Banking, Financial Services, Wealth Management","Bridgeport, Connecticut, United States",—,—,IPO,—
Centex Corporation acquired by Pulte Group,Centex Corporation,Pulte Group,"Apr 8, 2009",—,Acquisition,—,Centex is an energy-efficient homebuilding company.,—,"Construction, Energy, Energy Efficiency","Dallas, Texas, United States",—,—,M&A,—,Building new Life Tested Home Designs created with the best ideas from homeowners just like you,"Construction, Customer Service, Lifestyle, News, Real Estate","Atlanta, Georgia, United States",—,—,IPO,—
