label,created_at,full_text,lang,user_name
Irrelevant,Thu Dec 19 00:15:05 +0000 2019,Onward and upward — we’ve been recognized as a leader in #Data Modernization by @Microsoft. https://t.co/rAWiZEBUOG https://t.co/3YIc4YAqxI,en,Cognizant
Irrelevant,Wed Dec 18 22:05:07 +0000 2019,"Developers, how can you acquire empathy? Start by listening. Read Cognizant Softvision’s guide today. @SOFTVISION_USA #softwareengineering https://t.co/0AhtmqcWwq https://t.co/g9VSjtBZZr",en,Cognizant
"AI/ML, DT",Wed Dec 18 20:17:04 +0000 2019,"🚀Do you know?
What new business model will disrupt #healthcare in the digital economy?  

#AI #Cloud #IoT",en,Cognizant
AI/ML,Wed Dec 18 17:00:07 +0000 2019,The #banking industry’s cashing in on $20M in savings using #AI. See how we help. https://t.co/oY8iTEyb2c https://t.co/u5uwkTCEGJ,en,Cognizant
DT,Wed Dec 18 16:02:42 +0000 2019,A company’s longevity can be threatened if it doesn’t change — @neeshahathi from @CharlesSchwab shares #digital insights on #finance in new report. https://t.co/NQONcDWuvv https://t.co/XSNIjZlHNG,en,Cognizant
"AI/ML, DT",Wed Dec 18 15:11:04 +0000 2019,"It’s not just about technology with #data modernization, but also mind-shift and paradigm changes — learn more now. #AI https://t.co/biZdI5vlEi https://t.co/n948mCHpdU",en,Cognizant
Irrelevant,Wed Dec 18 12:01:02 +0000 2019,"A team that grooves together, stays together! 💃🕺 #BeCognizant https://t.co/X6kzxjhUOq",en,Cognizant
DT,Wed Dec 18 07:00:06 +0000 2019,Create hyper-personalized #digital experiences to unlock entirely new ways to engage customers. #LeadingInDigital https://t.co/RuYVtoKdPg https://t.co/n9SNUtgRNS,en,Cognizant
AI/ML,Wed Dec 18 03:01:01 +0000 2019,Conversational #AI can sense emotions that customers have when engaging with a virtual agent. #CX https://t.co/7jiZZMZaqO https://t.co/0TPUL8LtiC,en,Cognizant
AI/ML,Wed Dec 18 01:15:17 +0000 2019,#AI is a two-part journey: getting ready and applying says Poornima Ramaswamy via @insideBigData. https://t.co/mn7Sw82UmQ https://t.co/gGzTpGEAF6,en,Cognizant
Irrelevant,Wed Dec 18 00:41:54 +0000 2019,"RT @Cognizant: 🌏POP QUIZ
According to the @wef, we are entering the ------- ?

#WEF20 #AI #IoT #FutureOfWork",en,Cognizant
AI/ML,Wed Dec 18 00:10:18 +0000 2019,Have you heard? @forrester named us a Leader in their #AI Consultancies Wave. #Innovation https://t.co/IDGdDMvCWC https://t.co/tVQsV4HejM,en,Cognizant
"AI/ML, DT",Tue Dec 17 22:00:08 +0000 2019,Be a digital leader—don’t be a laggard. Learn why companies are investing 10x in #AI and seeing ROI. #data https://t.co/z5oLubYy1y,en,Cognizant
Irrelevant,Tue Dec 17 19:17:01 +0000 2019,"RT @girlscouts: ""When it comes to encouraging inclusion in the workplace and giving women a voice, the industry can take a page from the Gi…",en,Cognizant
"AI/ML, DT",Tue Dec 17 19:00:07 +0000 2019,"Put your #retail pedal to the digital metal to use AI, cloud, and data to win the race. Let’s talk shop at #NRF2020. https://t.co/qvYrBKnrRl https://t.co/sJu4EwCBRy",en,Cognizant
Irrelevant,Tue Dec 17 17:00:14 +0000 2019,We're honored to be recognized as a #TopEmployer2020 in #China. 👏🎊 https://t.co/zXuaGJvZsc,en,Cognizant
Irrelevant,Tue Dec 17 16:00:07 +0000 2019,Technology informs design and design enables #technology — read Cognizant Softvision's @aangelani ’s post now. @SOFTVISION_USA  https://t.co/wgA3vgbq3B https://t.co/JPBhkgNjhZ,en,Cognizant
AI/ML,Tue Dec 17 15:05:23 +0000 2019,The human-algorithm alliance forces brands to connect humanly and intelligently with customers—read now. #AI https://t.co/MoPu7D1oVg https://t.co/RCzJIoG3Au,en,Cognizant
Irrelevant,Tue Dec 17 14:56:03 +0000 2019,"RT @CognizantNews: “The bot will see you now.” How bots, #blockchain and #IoT can shape the future of healthcare according to Narayan Iyer…",en,Cognizant
"AI/ML, DT",Tue Dec 17 14:05:07 +0000 2019,"Our CEO Brian Humphries shares insights about how we’re helping clients from @MetLife to @GeisingerHealth succeed with digital by embracing blockchain, #AI and #data. Read more. #healthcare #insurance https://t.co/xE0HNKDdM9",en,Cognizant
DT,Tue Dec 17 12:00:42 +0000 2019,Our @SOFTVISION_USA team is building the future with digital products that fuel growth—@codiaxconf in Romamia. 🗣 #BeCognizant #data https://t.co/H9RQH0nysb,en,Cognizant
DT,Tue Dec 17 10:00:04 +0000 2019,Work's changing — uncover the trends that'll help your organization thrive. #LeadingInDigital #FutureOfWork https://t.co/NogW2c06o9 https://t.co/hAV8zsQPn2,en,Cognizant
Irrelevant,Tue Dec 17 07:00:08 +0000 2019,"We're honored to employ 75,000 women throughout 13 cities in India. See how Cognizant is driving #diversity and #inclusion in the workplace. https://t.co/aFkv1mV68f https://t.co/qnyDw2DgAt",en,Cognizant
DT,Tue Dec 17 03:02:39 +0000 2019,Industry 4.0 is here. See how connecting physical and digital realms is reshaping the future of #manufacturing. #reInvent #IoT https://t.co/0xepiMoUSD https://t.co/n16uNOvDBt,en,Cognizant
"AI/ML, DT",Tue Dec 17 01:06:00 +0000 2019,"Conversational tech must be emotionally intelligent, contextual and personalized. Watch to learn more. #AI https://t.co/NjZHXKVYKQ https://t.co/JDijzsPKC4",en,Cognizant
AI/ML,Tue Dec 17 00:05:04 +0000 2019,Choose an #AI Leader (chosen by @IDC) to be YOUR AI leader! Learn how the Cognizant Artificial Intelligence Practice can help. https://t.co/vtk8ykGvbh https://t.co/yV1IfzdB2h,en,Cognizant
DT,Mon Dec 16 22:49:05 +0000 2019,RT @CognizantNews: #Cybersecurity should be a part of every #digitaltransformation says Euan Davis via Professional Security Magazine @euan…,en,Cognizant
DT,Mon Dec 16 21:01:11 +0000 2019,"Access to #data, platforms and changes in work will create #digital health success. Marisa Co from @bmsnews shares #lifesciences insights in report. https://t.co/20F7mDRNBX https://t.co/nPFI7hbvR0",en,Cognizant
Irrelevant,Mon Dec 16 19:00:16 +0000 2019,We embrace technology to unlock value for our clients. @cohendjcohen #banking #finance #fintech #security https://t.co/ZA0iLmSWQi https://t.co/v2mGyQ7Dan,en,Cognizant
DT,Mon Dec 16 17:05:05 +0000 2019,Better tech can lower #insurance industry TCO by 30%. Learn more about how #data helps. https://t.co/5K3KzSIOFa https://t.co/buKQPt7xJg,en,Cognizant
Irrelevant,Mon Dec 16 16:05:09 +0000 2019,We saved the #tax industry millions in unnecessary spend — read Cognizant Softvision's case study to learn more. @SOFTVISION_USA #softwareengineering https://t.co/H0JuCmZQlF https://t.co/hwHlf1tmf9,en,Cognizant
Irrelevant,Mon Dec 16 15:00:06 +0000 2019,Marketers rate their #CX from good to bad — read more in our report with @Econsultancy. #interactive https://t.co/JOxL6gnXsX https://t.co/nGjfcq0SmK,en,Cognizant
Irrelevant,Mon Dec 16 14:33:14 +0000 2019,"RT @CognizantNews: #Utility companies that do not evolve will lose out to new, more nimble entrants says Rohit Gupta via @_MEM_UK #digital…",en,Cognizant
Irrelevant,Mon Dec 16 13:11:46 +0000 2019,Our competition is the phone we all hold in our hands —see why understanding #data is critical to the #customerexperience. #AI https://t.co/V1HG7Fxn1W https://t.co/CKB09k77M4,en,Cognizant
Irrelevant,Mon Dec 16 12:00:52 +0000 2019,We're jammin'—to an #inclusive work culture in Brazil! 💃🕺 #BeCognizant https://t.co/Xt6H228TWE,en,Cognizant
Irrelevant,Mon Dec 16 11:30:04 +0000 2019,Promoting learning and development with color in Atlanta! 👦👧 #BeCognizant https://t.co/ecuZWSrdmn,en,Cognizant
"AI/ML, DT",Mon Dec 16 03:35:20 +0000 2019,"RT @Cognizant: 💡Pop Quiz 
What is the average investment of revenue on digital technologies such as #AI &amp; #Automation? https://t.co/LDppL48…",en,Cognizant
DT,Mon Dec 16 03:06:49 +0000 2019,Our #airline client enhanced their booking experience with #digital —watch our video to learn how. https://t.co/TdPirCmcmi https://t.co/pbQjLRabp8,en,Cognizant
AI/ML,Mon Dec 16 02:06:30 +0000 2019,RT @Cognizant: A good #AI system needs elastic and clean #data. @babakatwork https://t.co/c8oXy9spgU https://t.co/DfkP4dfsHM,en,Cognizant
"AI/ML, DT",Sun Dec 15 17:00:30 +0000 2019,"Put your #retail pedal to the digital metal to use AI, cloud, and data to win the race. Let’s talk shop at #NRF2020. https://t.co/isk7cqqtUB https://t.co/3GGzngb8kM",en,Cognizant
DT,Sun Dec 15 16:00:06 +0000 2019,"Discover how the #banking industry uses #blockchain make online purchasing safer, faster and less costly. https://t.co/eTHaH2Aani https://t.co/vqSCJIskIO",en,Cognizant
Irrelevant,Sun Dec 15 14:00:18 +0000 2019,Raising a cupcake to your health—this #NationalCupcakeDay! What's your favorite cupcake? #BeCognizant https://t.co/lS0nI7IkcK,en,Cognizant
"AI/ML, DT",Sun Dec 15 13:00:26 +0000 2019,Watch how evolutionary #AI models are transforming #retail—and increasing revenue. #reInvent https://t.co/2QUD88agiv https://t.co/jZY5duGtV0,en,Cognizant
DT,Sun Dec 15 09:35:24 +0000 2019,4 key factors drive successful Industry 4.0 transformations. Cognizant’s Frank Antonysamy walks you through them in this video. #IoT #reInvent https://t.co/yKuc3JlRwO https://t.co/iUFDg6tG9c,en,Cognizant
AI/ML,Sun Dec 15 03:01:32 +0000 2019,We deliver dozens and dozens of Conversational #AI projects across every industry. How can we help you win? https://t.co/Cll3PrI5M4 https://t.co/d91YB8nZ8v,en,Cognizant
Irrelevant,Sat Dec 14 20:23:26 +0000 2019,RT @CognizantNews: What’s needed to be successful in #IoT 2.0? Muthu Kumaran offers his thoughts via Future IoT https://t.co/wVgOQZLfoj,en,Cognizant
DT,Sat Dec 14 19:00:42 +0000 2019,We’re the partner that can handle the risks associated with integrating #fintech and digital to unlock value. @cohendjcohen #banking #finance #security https://t.co/RbcFWVF9iU https://t.co/Cr5z1wwmIv,en,Cognizant
AI/ML,Sat Dec 14 13:01:36 +0000 2019,A good #AI system needs elastic and clean #data. @babakatwork https://t.co/c8oXy9spgU https://t.co/DfkP4dfsHM,en,Cognizant
AI/ML,Sat Dec 14 12:15:05 +0000 2019,Reduce employee turn-over with #AI — read more in our report. https://t.co/T66Oum6u5Z https://t.co/FqQQwJl5gB,en,Cognizant
Irrelevant,Sat Dec 14 03:26:53 +0000 2019,The correct answer is 10%—get ready to meet the average of 15% of revenue in 3 years. https://t.co/3TYVk8CNdp,en,Cognizant
Irrelevant,Sat Dec 14 00:05:04 +0000 2019,"Our 14K product, design and engineering experts are engineering for #digital around the world—see why @EverestGroup calls us a leader in software product engineering. #softwareengineering https://t.co/ER61XO9KnF",en,Cognizant
AI/ML,Fri Dec 13 22:05:06 +0000 2019,Experts and clients share experimental #artificialintelligence and blockchain stories in our Cognizanti Journal — check it out. https://t.co/YE9EaG49Iq https://t.co/BRhtyiSW40,en,Cognizant
DT,Fri Dec 13 20:06:42 +0000 2019,"Top performing companies are investing in #data modernization, why aren’t you? Learn more now. #AI https://t.co/ZWw65TB27I https://t.co/YGCPmfAUBW",en,Cognizant
Irrelevant,Fri Dec 13 19:00:05 +0000 2019,Here are 6 areas of business you can improve to get create better #CX — read our report with @Econsultancy now. #interactive https://t.co/VU1Iy99ZIn https://t.co/r20jdMKQ37,en,Cognizant
AI/ML,Fri Dec 13 17:00:05 +0000 2019,Did you know that we employ 2700+ clinicians who improve people’s lives in #healthcare and #lifesciences using #AI. https://t.co/y4P9bmJgFk https://t.co/GVdG47SxUx,en,Cognizant
Irrelevant,Fri Dec 13 16:00:50 +0000 2019,Explore opportunities for building innovation and impact with #IoT—learn more now! #reInvent https://t.co/29D9uiLS13 https://t.co/itqDx4ciYj,en,Cognizant
Irrelevant,Fri Dec 13 15:02:55 +0000 2019,@selvayesuvadian Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:02:43 +0000 2019,@Prashan28450279 Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:02:38 +0000 2019,@Dave_Neil_ Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:02:31 +0000 2019,@blueweves Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:02:16 +0000 2019,@Deep28786126 Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:02:07 +0000 2019,@saikumar199904 Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:01:24 +0000 2019,@GauravPatwardh5 Correct! Get ready to meet the average of 15% of revenue in 3 years.,en,Cognizant
Irrelevant,Fri Dec 13 15:00:23 +0000 2019,Reduce design-to-market times by 20% to 50% with #IoT. Download our guide now to learn more! https://t.co/xkQBNYzoNz #SupplyChain https://t.co/K4Z5A6nYj1,en,Cognizant
Irrelevant,Fri Dec 13 14:05:05 +0000 2019,Learn to deliver products that create impact with @SOFTVISION_USA ’s guide — download now! @aangelani #softwareengineering https://t.co/I8tFU8RUd3 https://t.co/DYOusfHBuU,en,Cognizant
AI/ML,Fri Dec 13 13:00:18 +0000 2019,Approaching #AI as a critical business strategy for financial institutions—Babak Hodjat explains via @BAI_Info @babakatwork #finance #banking https://t.co/X75WowUZ2P https://t.co/oEC3Cc7tRj,en,Cognizant
Irrelevant,Fri Dec 13 12:00:09 +0000 2019,"Honoring the collective wisdom of 100,000 talented women at Cognizant! 🎂 #BeCognizant https://t.co/fqdLyYkRVx",en,Cognizant
Irrelevant,Fri Dec 13 06:00:12 +0000 2019,"Congratulations to our teams in China, Australia and Singapore for receiving the Top Employer 2020 award! #BeCognizant https://t.co/SKVlEdS4Hi",en,Cognizant
DT,Fri Dec 13 03:30:22 +0000 2019,See how digital gets done in @softvision_usa’s book “Transforming While Performing.” #softwareengineering https://t.co/21JwyvTY3A https://t.co/dPArXzUwNV,en,Cognizant
Irrelevant,Fri Dec 13 01:02:36 +0000 2019,If these walls could talk — see how we use #IoT to bring buildings to life. https://t.co/k8xnCiRKoF https://t.co/ZpyblRZJWP,en,Cognizant
DT,Fri Dec 13 00:10:05 +0000 2019,"We’ve mastered app modernization and have the best routes to your #cloud migration destination, says @forrester. Let us map your digital transformation journey. https://t.co/0dQiJ6BLwW #leadership https://t.co/LoQr8dbax5",en,Cognizant
DT,Thu Dec 12 22:00:04 +0000 2019,Redesign primary care with #data — see how #healthcare embraces #digital to improve experiences. https://t.co/qTn4P6m4Fe https://t.co/jwcoLd73J2,en,Cognizant
AI/ML,Thu Dec 12 19:01:25 +0000 2019,"Cognizant’s partnering with companies to rethink how to drive outcomes with #machinelearning, #AI, #cloud, and #IoT. https://t.co/rJ9nE44HB6 https://t.co/Rh9ffcQoJn",en,Cognizant
AI/ML,Thu Dec 12 17:00:08 +0000 2019,What if you could reduce a #lifesciences trial by 4 years? We can show you how by using #AI. https://t.co/hTSuEfgqKq https://t.co/ynaYiOVqDb,en,Cognizant
DT,Thu Dec 12 16:00:23 +0000 2019,"""Digital is a once in a life-time change for many companies.” @gmbrady from @CapitalOne shares #banking insights in our new report. #digital https://t.co/PS66YqScCm https://t.co/Nlit0uQjix",en,Cognizant
Irrelevant,Thu Dec 12 15:25:17 +0000 2019,"RT @CognizantNews: Greg Hyttenrauch named Cognizant EVP, President of Digital Systems &amp; Technology via @EconomicTimes https://t.co/0gFnsnqk…",en,Cognizant
AI/ML,Thu Dec 12 15:00:07 +0000 2019,Embrace a human centric strategy — see how #AI has grown and is ready for business. https://t.co/udDBdowVaq https://t.co/Woc7dJmXJk,en,Cognizant
Irrelevant,Thu Dec 12 13:01:49 +0000 2019,It’s time to invest 10% of revenue in #tech or fall behind the digital maturity curve. #IoT #media https://t.co/XPkYMfGOnu https://t.co/EsWWLI6QF1,en,Cognizant
Irrelevant,Thu Dec 12 12:00:08 +0000 2019,The #futureofwork is all #inclusive—and so are we! 👩 #BeCognizant https://t.co/jZIMovu0yG,en,Cognizant
Irrelevant,Thu Dec 12 09:00:20 +0000 2019,Here's everything you need to know about the #FutureOfWork but were too afraid to ask. #LeadingInDigital https://t.co/dvM4c6Aka4 https://t.co/7mwOs2bTGJ,en,Cognizant
Irrelevant,Thu Dec 12 03:00:05 +0000 2019,Digital Engineering 101 — technology and design become one. Check out Cognizant Softvision's guide today. @SOFTVISION_USA #softwareengineering https://t.co/AheTI306wV https://t.co/5Ew6dRPX6r,en,Cognizant
Irrelevant,Thu Dec 12 01:00:23 +0000 2019,Improve threat detection and investigations by 50% with our Cyber Threat Defense platform — watch to learn more. #security https://t.co/JnfHLp7x6v https://t.co/ljoRWoIX0K,en,Cognizant
DT,Thu Dec 12 00:00:05 +0000 2019,We’ve been named as a leader in The Forrester Wave for #RPA Robotic Services Wave. Ask us how we use #automation to reduce costs by 30% @forrester https://t.co/O1K3GAKYlU https://t.co/zaj6eIuYRi,en,Cognizant
Irrelevant,Wed Dec 11 19:00:08 +0000 2019,CCPA’s requirement for returning information to the customer brings a 2-way flow to a process that has traditionally been one way says our own Mark Davies. #data  https://t.co/wAPOCjQvon,en,Cognizant
Irrelevant,Wed Dec 11 17:10:18 +0000 2019,"🌏POP QUIZ
According to the @wef, we are entering the ------- ?

#WEF20 #AI #IoT #FutureOfWork",en,Cognizant
AI/ML,Wed Dec 11 17:00:08 +0000 2019,Unlocking $35M is a task made easier with #AI. See how we help your business. https://t.co/8s4ANsaYs3 https://t.co/OOqrPHtlNV,en,Cognizant
Irrelevant,Wed Dec 11 16:00:21 +0000 2019,“The route to beating the robots is being a better human being.” @BenjaminPring talks #automation in @OECD’s podcast. #FutureOfWork https://t.co/Y28jR96dCi https://t.co/hfkZUWZqmf,en,Cognizant
AI/ML,Wed Dec 11 15:00:13 +0000 2019,The human-algorithm alliance forces brands to connect humanly and intelligently with customers—read now. #AI https://t.co/XwU5KwygUV https://t.co/0WWuJjyNOM,en,Cognizant
Irrelevant,Wed Dec 11 14:44:27 +0000 2019,"RT @CognizantNews: New conglomerates need to be careful not to compromise the authenticity that made the original #brands successful, says…",en,Cognizant
"AI/ML, DT",Wed Dec 11 14:00:08 +0000 2019,Spark new ideas and fresh #banking business models with our #AI experts. https://t.co/grKdfqijFQ https://t.co/GS2VB8yvH1,en,Cognizant
Irrelevant,Wed Dec 11 13:00:05 +0000 2019,See why @EverestGroup calls us a leader in software product engineering! #softwareengineering https://t.co/2gSRPXsusK https://t.co/roC9WU98Po,en,Cognizant
Irrelevant,Wed Dec 11 12:10:51 +0000 2019,Holistic views of #IoT results in an unimaginable volume of intelligence —watch our video now. https://t.co/yhX9kQq323 https://t.co/tr2E9JbVkO,en,Cognizant
Irrelevant,Wed Dec 11 12:00:54 +0000 2019,We're building the #digital future—our team at a Build Stuff Conference in Vilnius. 🔨 #BeCognizant https://t.co/l7vyXCfj18,en,Cognizant
Irrelevant,Wed Dec 11 07:30:06 +0000 2019,"Cognizant is back! The best days are ahead of us, says Ramkumar Ramamoorthy via @timesofindia #digital https://t.co/02h1x6vLls",en,Cognizant
DT,Wed Dec 11 01:01:20 +0000 2019,81% of companies are driving ROI from #digital using #cloud — see how you can too! https://t.co/ixhHtS8bhb https://t.co/JLCTD5W6t9,en,Cognizant
DT,Wed Dec 11 00:15:05 +0000 2019,Big news! We’ve been recognized as the winner for the 2019 @Microsoft Global Partner of the Year for #Data Modernization. https://t.co/5D17kbAp45 https://t.co/QsmRc2NJis,en,Cognizant
"AI/ML, DT",Tue Dec 10 22:00:16 +0000 2019,Checking in? Joseph Rajadurai outlines how hotels can provide the ultimate #CX using #AI via @htmagazine. https://t.co/KCNuApSSJX https://t.co/ZgJ8WuNRnd,en,Cognizant
AI/ML,Tue Dec 10 19:00:05 +0000 2019,"Imagine a world where a robo advisor secures 500 new clients. Learn how #fintech, #interactive, and #AI can help. https://t.co/4LQAfOzRVe https://t.co/tPQnrl1mbA",en,Cognizant
Irrelevant,Tue Dec 10 17:01:26 +0000 2019,Consumers crave easy access to information — read our report with @Econsultancy to become future-proof. #data #interactive https://t.co/QD9u1ExAXD https://t.co/tTwskG8phc,en,Cognizant
DT,Tue Dec 10 16:00:06 +0000 2019,Improve the customer experience with #softwareengineering — read Cognizant Softvision's @aangelani ’s post now. @SOFTVISION_USA https://t.co/hXJXrG05sN https://t.co/uWqJX0Bi6P,en,Cognizant
DT,Tue Dec 10 15:00:06 +0000 2019,If tech doesn’t influence 30% of your revenue you’re falling behind. [DIGITAL REPORT] #AI #IoT #cloud #softwareengineering https://t.co/b5HFvQKzqS https://t.co/DW6Oz7XIyH,en,Cognizant
AI/ML,Tue Dec 10 14:05:05 +0000 2019,Power up new #insurance business models with #AI—to lead in the this rapidly changing industry. https://t.co/2rSsyoVmGI https://t.co/CmLdAyAzLi,en,Cognizant
AI/ML,Tue Dec 10 13:00:18 +0000 2019,#AI and #IoT shift the point of sale to the point of #CX say Frank Antonysamy &amp; Bret Greenstein via @CMO_by_Adobe. @bretgreenstein https://t.co/ES5uNYx9ZI https://t.co/Askn92lVgn,en,Cognizant
DT,Tue Dec 10 12:00:55 +0000 2019,Creating a #data inventory allows us to build better governance and accountability — learn more now. #AI https://t.co/brEGDV5h2a https://t.co/CDo6HM3hER,en,Cognizant
Irrelevant,Tue Dec 10 12:00:06 +0000 2019,Hello from our colleagues in Hamburg. What city are you in?  🤝🙌 #BeCognizant https://t.co/ARd8baSxa5,en,Cognizant
Irrelevant,Tue Dec 10 05:02:09 +0000 2019,We’re a global business with a strong and proud Australian presence servicing top blue chip brands! #interactive #GreatPlace2Work https://t.co/ZpyowWGrF0 https://t.co/TeJkVolJUH,en,Cognizant
AI/ML,Tue Dec 10 03:31:51 +0000 2019,The robots are coming — watch our video to see how humans and #AI can collaborate together. #FutureOfWork https://t.co/7VipCSizev https://t.co/IrCp7fMVYV,en,Cognizant
Irrelevant,Tue Dec 10 00:10:05 +0000 2019,Thrilled to be awarded the @Microsoft 2019 US Partner for Intelligent Cloud - Internet of Things. #IoT https://t.co/TpeKBxdgnx https://t.co/saQA8qUlaD,en,Cognizant
AI/ML,Mon Dec 09 21:00:06 +0000 2019,Minimizing risk in the #finance industry is critical. #AI can help. #fintech https://t.co/MutHCcesda https://t.co/kpRitEJpMn,en,Cognizant
AI/ML,Mon Dec 09 18:29:01 +0000 2019,RT @CognizantEvents: Our breakout session with @WeAreFarmers and @AWScloud at #reInvent explored how to use chatbots and #AI for elite cust…,en,Cognizant
DT,Mon Dec 09 17:00:13 +0000 2019,Replenish the talent pool — see how enterprises are looking to digitally upskill their #education methods. #FutureOfWork https://t.co/drSHyXFiw3 https://t.co/wM7Da74zye,en,Cognizant
Irrelevant,Mon Dec 09 16:05:20 +0000 2019,We saved the #tax industry millions in unnecessary spend — read Cognizant Softvision's case study to learn more. @SOFTVISION_USA #softwareengineering https://t.co/XZLWd3kF5b https://t.co/a1o8bZ1QTZ,en,Cognizant
DT,Mon Dec 09 15:00:11 +0000 2019,On the road to #digital—here’re the 5 most common challenges and workarounds to enhance business. https://t.co/NXrEolg1HD https://t.co/pVwLNZaIvz,en,Cognizant
AI/ML,Mon Dec 09 14:00:40 +0000 2019,"Trend alert! Use #AI optimized hardware to build systems in the #cloud, says our @bretgreenstein in @DisruptorDaily @sam_mire https://t.co/GgWRAs5wZb https://t.co/qybUREHj6Q",en,Cognizant
DT,Mon Dec 09 12:00:13 +0000 2019,Transformation around the globe—at Discover IT Industry in Dubai  🤝💼 #BeCognizant https://t.co/zIT43Q9KiT,en,Cognizant
DT,Mon Dec 09 09:00:08 +0000 2019,Create hyper-personalized #digital experiences to unlock entirely new ways to engage customers. #LeadingInDigital https://t.co/31RWVg4ilo https://t.co/S8vA8KkknX,en,Cognizant
Irrelevant,Mon Dec 09 05:58:28 +0000 2019,Here're the 23 #hyperconnected U.S. Cities—is where you live on this list? #IIoT @AmerCityCounty https://t.co/v72HwU1WVU https://t.co/fD1WGgQC4F,en,Cognizant
Irrelevant,Mon Dec 09 05:01:02 +0000 2019,"The #digital health effort has centralized, transparent, and flexible investment choices. Marisa Co from @bmsnews shares #lifesciences insights in report. https://t.co/CT8yR84oQA https://t.co/i5pLSqwT2w",en,Cognizant
Irrelevant,Mon Dec 09 02:05:14 +0000 2019,Watch our video to see why you shouldn’t have a short-sighted outlook on #IoT initiatives. https://t.co/YM84Q3Cej8 https://t.co/XsXwOmPS0u,en,Cognizant
Irrelevant,Sun Dec 08 21:36:13 +0000 2019,RT @CognizantEvents: The top takeaway from @Cognizant’s session on #AWS #cloud migration with Venerable is “don’t wait”. Read on for more i…,en,Cognizant
Irrelevant,Sun Dec 08 17:06:44 +0000 2019,RT @CognizantEvents: Michelle Tolod and @Rajarengan share key takeaways from #reInvent 2019. #AWS #Cloud https://t.co/VNek2DuDrQ,en,Cognizant
Irrelevant,Sun Dec 08 16:47:14 +0000 2019,RT @Cognizant: 🧐Poll: Which topic are you most interested in learning in 2020? #reInvent,en,Cognizant
AI/ML,Sun Dec 08 15:00:07 +0000 2019,The growth of analytics and #AI is the first phase of the robotics revolution. Check out our report now: https://t.co/BTA3pMsUDa https://t.co/brXG5b0nmO,en,Cognizant
